coatingSeconds,rbcLayerPSD[][0],rbcLayerPSD[][1],rbcLayerPSD[][2],rbcLayerPSD[][3],rbcLayerPSD[][4],rbcLayerPSD[][5],rbcLayerPSD[][6],rbcLayerPSD[][7],rbcLayerPSD[][8],rbcLayerPSD[][9],rbcLayerPSD[][10],rbcLayerPSD[][11],rbcLayerPSD[][12],rbcLayerPSD[][13],rbcLayerPSD[][14],rbcLayerPSD[][15],rbcLayerPSD[][16],rbcLayerPSD[][17],rbcLayerPSD[][18],rbcLayerPSD[][19],rbcLayerPSD[][20],rbcLayerPSD[][21],rbcLayerPSD[][22],rbcLayerPSD[][23],rbcLayerPSD[][24],rbcLayerPSD[][25],rbcLayerPSD[][26],rbcLayerPSD[][27],rbcLayerPSD[][28],rbcLayerPSD[][29],rbcLayerPSD[][30],rbcLayerPSD[][31],rbcLayerPSD[][32],rbcLayerPSD[][33],rbcLayerPSD[][34],rbcLayerPSD[][35],rbcLayerPSD[][36],rbcLayerPSD[][37],rbcLayerPSD[][38],rbcLayerPSD[][39],rbcLayerPSD[][40],rbcLayerPSD[][41],rbcLayerPSD[][42],rbcLayerPSD[][43],rbcLayerPSD[][44],rbcLayerPSD[][45],rbcLayerPSD[][46],rbcLayerPSD[][47],rbcLayerPSD[][48],rbcLayerPSD[][49],rbcLayerPSD[][50],rbcLayerPSD[][51],rbcLayerPSD[][52],rbcLayerPSD[][53],rbcLayerPSD[][54],rbcLayerPSD[][55],rbcLayerPSD[][56],rbcLayerPSD[][57],rbcLayerPSD[][58],rbcLayerPSD[][59],rbcLayerPSD[][60],rbcLayerPSD[][61],rbcLayerPSD[][62],rbcLayerPSD[][63],rbcLayerPSD[][64],rbcLayerPSD[][65],rbcLayerPSD[][66],rbcLayerPSD[][67],rbcLayerPSD[][68],rbcLayerPSD[][69],rbcLayerPSD[][70],rbcLayerPSD[][71],rbcLayerPSD[][72],rbcLayerPSD[][73],rbcLayerPSD[][74],rbcLayerPSD[][75],rbcLayerPSD[][76],rbcLayerPSD[][77],rbcLayerPSD[][78],rbcLayerPSD[][79],rbcLayerPSD[][80],rbcLayerPSD[][81],rbcLayerPSD[][82],rbcLayerPSD[][83],rbcLayerPSD[][84],rbcLayerPSD[][85],rbcLayerPSD[][86],rbcLayerPSD[][87],rbcLayerPSD[][88],rbcLayerPSD[][89],rbcLayerPSD[][90],rbcLayerPSD[][91],rbcLayerPSD[][92],rbcLayerPSD[][93],rbcLayerPSD[][94],rbcLayerPSD[][95],rbcLayerPSD[][96],rbcLayerPSD[][97],rbcLayerPSD[][98],rbcLayerPSD[][99],coatingHist[][0],coatingHist[][1],coatingHist[][2],coatingHist[][3],coatingHist[][4],coatingHist[][5],coatingHist[][6],coatingHist[][7],coatingHist[][8],coatingHist[][9],coatingHist[][10],coatingHist[][11],coatingHist[][12],coatingHist[][13],coatingHist[][14],coatingHist[][15],coatingHist[][16],coatingHist[][17],coatingHist[][18],coatingHist[][19],coatingHist[][20],coatingHist[][21],coatingHist[][22],coatingHist[][23],coatingHist[][24],coatingHist[][25],coatingHist[][26],coatingHist[][27],coatingHist[][28],coatingHist[][29],coatingHist[][30],coatingHist[][31],coatingHist[][32],coatingHist[][33],coatingHist[][34],coatingHist[][35],coatingHist[][36],coatingHist[][37],coatingHist[][38],coatingHist[][39],coatingHist[][40],coatingHist[][41],coatingHist[][42],coatingHist[][43],coatingHist[][44],coatingHist[][45],coatingHist[][46],coatingHist[][47],coatingHist[][48],coatingHist[][49],coatingHist[][50],coatingHist[][51],coatingHist[][52],coatingHist[][53],coatingHist[][54],coatingHist[][55],coatingHist[][56],coatingHist[][57],coatingHist[][58],coatingHist[][59],coatingHist[][60],coatingHist[][61],coatingHist[][62],coatingHist[][63],coatingHist[][64],coatingHist[][65],coatingHist[][66],coatingHist[][67],coatingHist[][68],coatingHist[][69],coatingHist[][70],coatingHist[][71],coatingHist[][72],coatingHist[][73],coatingHist[][74],coatingHist[][75],coatingHist[][76],coatingHist[][77],coatingHist[][78],coatingHist[][79],coatingHist[][80],coatingHist[][81],coatingHist[][82],coatingHist[][83],coatingHist[][84],coatingHist[][85],coatingHist[][86],coatingHist[][87],coatingHist[][88],coatingHist[][89],coatingHist[][90],coatingHist[][91],coatingHist[][92],coatingHist[][93],coatingHist[][94],coatingHist[][95],coatingHist[][96],coatingHist[][97],coatingHist[][98],coatingHist[][99]
2,0,0,0,22.45,15.0884,21.5615,29.217,39.2538,37.9937,29.5933,44.4066,58.6285,42.9141,46.0946,49.7786,46.5525,54.9772,60.3885,65.3497,74.8278,70.905,70.6035,65.5518,87.0134,76.42,83.0611,67.0248,77.648,101.006,85.5779,81.442,98.0006,77.2177,103.538,104.529,107.307,0,104.221,108.853,119.068,125.052,124.337,135.879,135.071,136.828,116.32,132.218,148.846,134.568,130.152,153.103,0,151.268,0,141.538,158.404,163.132,0,0,0,161.93,168.716,0,186.569,139.929,0,0,170.016,185.651,0,184.26,0,0,171.308,199.589,0,0,0,0,122.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446429,0.446429,0.892857,0,0,0.892857,0,0.892857,0.446429,0.446429,1.78571,0.892857,1.33929,1.33929,1.78571,1.78571,0.892857,2.23214,1.78571,1.78571,1.78571,2.67857,2.23214,2.67857,1.78571,2.67857,2.23214,0.892857,1.78571,3.125,2.23214,2.67857,1.33929,0.892857,0.892857,2.23214,2.67857,0.446429,3.125,1.78571,1.33929,2.23214,0.446429,1.33929,1.78571,0.892857,0.892857,1.78571,1.33929,1.78571,0.892857,0.446429,1.33929,0,0,0.446429,0.892857,0.446429,0,0.892857,1.33929,0,0.892857,0.446429,0.892857,1.78571,0.446429,0.446429,1.33929,0.446429,0,0.446429,0.892857,0.446429,0.892857,0.446429,1.33929,0,0.446429,0.446429,0.446429,0.892857,0.446429,0.446429,0,0,0,0,0.446429,0.446429,0.892857,0.892857,0,0,0.446429,0,1.33929,0.446429
302,0,0,0,28.0869,24.3161,31.3185,29.2644,40.3754,33.9141,31.7644,38.2025,40.4861,48.0842,58.987,52.2206,49.0204,62.6212,65.245,65.0007,68.9873,56.6324,81.4848,67.6457,79.5574,53.768,79.7898,86.0598,0,76.5399,95.9639,105.536,101.402,103.833,108.035,89.9127,90.9598,116.711,107.386,119.842,117.285,120.568,123.321,133.724,140.205,140.204,139.28,0,0,126.429,136.689,148.56,161.111,122.834,155.142,152.277,152.225,162.868,168.75,138.374,143.747,164.082,185.555,0,174.125,174.422,0,0,0,188.164,178.882,0,0,0,166.63,165.536,0,0,0,0,189.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497512,0.497512,1.49254,0.497512,0.497512,0,1.99005,1.99005,0.995025,0.497512,1.49254,2.48756,0.995025,1.49254,0.497512,2.48756,0.995025,2.98507,2.48756,2.98507,0.995025,2.48756,1.49254,2.98507,1.99005,1.49254,0,0.995025,2.98507,0.497512,0.497512,2.98507,0,1.49254,1.99005,0.995025,1.49254,0,0.995025,2.48756,1.49254,1.49254,1.49254,0.497512,0.995025,0.497512,1.49254,1.49254,1.49254,0.995025,0.497512,0.995025,0.497512,1.99005,0.497512,0.497512,2.48756,0.995025,0.995025,0.995025,1.49254,0.995025,0.497512,0.995025,0.995025,1.99005,0.995025,0,0,0.497512,0.497512,0.497512,0.995025,0,0.497512,1.49254,0.995025,1.49254,1.49254,0.497512,0.497512,0,0.497512,0,0.995025,0,0,0.497512,0,0.995025,0,0,0,0.497512,0
602,0,0,0,21.6414,30.9747,16.8782,42.1687,35.2204,32.565,41.5676,36.5447,47.5019,49.4154,58.4896,52.986,53.2076,61.2756,49.2441,54.0865,71.3469,64.9406,76.5667,69.9362,70.88,75.8454,81.6989,95.4358,84.39,99.063,77.8303,102.777,99.0362,96.6813,88.0623,109.817,119.551,116.347,120.817,122.025,0,130.968,122.401,125.631,130.499,128.037,128.446,135.93,138.574,0,0,158.001,152.256,137.065,0,0,155.484,132.522,165.769,150.672,162.634,0,183.035,0,0,172.794,0,192.166,0,0,188.113,0,169.934,0,0,195.879,0,0,183.095,0,141.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49505,0.990099,1.48515,0.49505,0,0.990099,0,0.49505,0.49505,0.990099,0.990099,1.48515,0.990099,0.49505,0.49505,1.48515,0.990099,1.9802,1.9802,0.990099,0.990099,1.48515,3.46535,2.9703,1.9802,3.9604,0,2.47525,1.9802,3.46535,0.990099,2.47525,0.49505,1.48515,2.9703,0.990099,1.9802,0.990099,2.9703,0.49505,0.990099,1.48515,2.47525,0.49505,1.48515,0.49505,0,1.9802,1.9802,1.9802,1.48515,0.990099,0,0.49505,0.49505,0,1.48515,1.9802,1.9802,0.49505,0,0.49505,0.990099,2.9703,0.990099,0,0.990099,0.49505,0.49505,0.49505,0.49505,1.48515,0.49505,0,0.990099,0,0,0.49505,0.49505,0.49505,0.49505,1.48515,0.49505,0.49505,0.49505,0,0,0.49505,0,1.48515,0,0,0,0,0.49505,0.49505,0.49505,0.49505
902,0,0,34.0022,29.6827,27.8722,31.1559,34.7159,40.7515,34.561,39.8115,48.5407,38.3282,41.5925,42.4402,51.7324,59.5703,52.7644,56.5976,60.8414,66.1395,66.8826,74.5884,80.4669,71.7192,72.9788,87.467,57.9203,99.8608,90.5264,98.5052,84.8761,78.9763,92.312,98.6704,110.288,113.598,113.69,82.8454,125.302,117.179,121.559,123.697,128.677,124.206,109.334,36.3396,130.573,0,119.873,140.269,149.949,151.395,161.612,159.231,0,152.711,155.481,166.705,0,168.619,169.624,169.91,164.041,0,0,0,181.065,196.896,182.355,0,0,195.6,0,194.402,0,0,0,0,0,21.5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502513,0,0.502513,0,0,1.00503,1.00503,1.50754,0,0.502513,0,0,1.50754,2.51256,2.01005,1.50754,2.51256,0.502513,2.51256,3.51759,2.01005,1.50754,2.01005,2.51256,3.01508,3.51759,1.00503,2.51256,3.01508,1.50754,1.00503,3.01508,1.00503,3.01508,1.00503,1.00503,0.502513,1.50754,2.01005,0,2.51256,2.01005,2.51256,0,1.00503,1.00503,0.502513,0,1.50754,0,1.00503,0.502513,0.502513,0,1.50754,0.502513,1.00503,1.50754,1.50754,1.50754,1.00503,1.50754,1.00503,1.00503,0,0,0.502513,1.50754,0.502513,1.00503,1.50754,0,0,0.502513,0,1.00503,0.502513,0.502513,2.01005,0.502513,0,0,1.50754,1.00503,0,0,0,0,0.502513,0.502513,0.502513,0,0,0,0.502513,0.502513,0.502513,1.00503,0
1202,0,0,0,0,27.7434,35.6937,35.2753,29.7739,42.4279,39.6763,43.6416,38.0454,55.37,43.0459,43.2463,45.5647,59.1981,44.4594,56.97,70.6515,69.3995,76.1464,75.0026,62.9127,82.9048,87.718,62.4564,93.6508,91.3142,78.2077,59.6274,96.1292,94.2566,97.5724,113.878,75.9308,95.3834,121.052,126.146,116.908,116.229,136.062,66.052,117.557,137.806,116.834,129.018,119.655,141.493,155.541,145.953,0,147.412,135.018,150.738,160.743,146.7,0,143.906,164.917,170.971,156.098,159.701,0,180.681,0,174.224,0,186.581,186.585,0,183.208,0,147.162,187.784,0,0,0,188.88,193.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42735,0.42735,0.854701,0,0.854701,0,0,0,0.854701,0.854701,0.854701,0.42735,0.42735,0,0.42735,2.13675,2.99145,0.854701,2.13675,2.99145,3.4188,3.4188,2.5641,2.13675,2.5641,0.42735,2.99145,1.7094,1.7094,2.13675,0.854701,1.28205,0.854701,0.854701,0.854701,1.28205,0.42735,1.28205,2.5641,2.13675,0.42735,0.42735,1.28205,2.13675,2.5641,1.28205,1.7094,1.7094,0.42735,0.42735,0.854701,0.854701,0.42735,0.854701,0.42735,2.13675,0.42735,0.42735,2.13675,2.13675,0,0.42735,0.42735,0.42735,0.854701,0,0,2.13675,0.42735,0.854701,0,0.854701,0.854701,0.854701,0,0,1.28205,0.42735,0.42735,1.28205,0.42735,1.7094,0.854701,0.42735,0.854701,0.42735,0.42735,0.854701,0,0.854701,1.28205,0,0,0.854701,0.854701,0.42735,0.42735,0,1.7094
1502,0,0,10.6083,9.94472,32.7744,35.2609,27.4008,25.6748,34.1321,43.6989,42.9772,35.9651,44.3094,45.227,57.1313,65.3608,35.0218,56.1842,47.2244,56.3149,70.8529,55.039,57.518,62.3241,85.5886,83.6505,95.3865,93.1133,74.8847,83.4562,96.4501,89.9749,112.741,107.033,111.987,115.663,105.452,124.399,125.555,122.034,105.158,126.085,135.302,127.924,120.607,125.503,131.955,0,141.143,0,142.952,127.46,0,0,152.896,151.909,158.261,160.293,0,0,174.133,172.794,172.963,181.221,0,0,188.099,0,173.474,176.395,198.326,0,0,0,0,0,0,0,0,187.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492611,0,0.985222,1.47783,0.492611,0.492611,1.47783,1.47783,1.47783,1.97044,0,0.492611,1.97044,0.492611,1.47783,1.47783,1.97044,2.46305,2.46305,2.46305,1.97044,2.46305,0.985222,1.97044,1.97044,0.985222,2.46305,1.47783,0.985222,2.46305,1.97044,1.97044,0.492611,0,0.985222,0.985222,0.985222,1.97044,1.47783,1.97044,0.985222,0.985222,1.97044,1.47783,1.97044,1.47783,0.985222,0.492611,0.985222,0.985222,0.985222,0.985222,0,0.492611,0.492611,1.47783,1.97044,0.492611,1.97044,1.47783,0.985222,0.492611,0.492611,0,1.47783,0.492611,0.985222,1.47783,1.47783,0.985222,0,0.492611,0.492611,0.492611,0.492611,0,0.492611,0,0.985222,0,0.492611,0.492611,0.985222,0.492611,1.47783,0.985222,0.492611,0,0.985222,0.492611,0.492611,0,0.492611,0,0,0,0,0.985222
1802,0,0,0,11.687,0,38.9866,40.0757,32.9186,19.9904,42.3765,49.9776,32.76,43.5637,37.9213,37.5514,48.088,60.4449,56.6465,59.6838,44.9831,79.1733,53.8998,69.0076,72.6267,79.7149,78.1286,77.3587,76.6171,91.6021,70.5003,100.594,90.2875,111.242,93.057,106.12,105.117,121.693,117.624,119.928,102.131,120.25,133.103,98.9765,121.78,135.487,137.961,141.147,129.159,150.158,147.929,133.115,149.061,153.941,144.509,0,168.486,162.397,0,152.331,0,0,0,186.441,182.153,179.986,178.142,190.497,181.856,0,0,0,183.361,0,189.788,183.473,0,0,0,0,187.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502513,0.502513,1.00503,1.00503,0.502513,1.00503,1.50754,1.00503,0,0.502513,2.01005,0.502513,1.00503,1.50754,1.50754,1.00503,1.50754,2.51256,3.51759,2.01005,1.50754,1.50754,1.50754,1.50754,5.02513,1.00503,1.50754,1.50754,1.00503,1.50754,1.00503,1.50754,2.01005,0.502513,1.00503,1.00503,2.51256,2.51256,2.01005,1.50754,1.00503,1.00503,2.01005,0.502513,0,1.00503,2.01005,1.00503,1.00503,0,0.502513,0.502513,0.502513,1.50754,0.502513,1.00503,1.00503,1.50754,0.502513,1.00503,0.502513,0,0,2.01005,0,1.00503,1.00503,1.50754,1.00503,1.00503,0.502513,1.50754,1.00503,1.00503,0.502513,0.502513,0,0,0.502513,0,1.00503,1.50754,0.502513,0.502513,0,1.00503,0,0.502513,1.00503,0,1.50754,1.50754,0.502513,0.502513,0.502513,0,0
2102,0,0,0,0,28.8823,37.6199,37.1585,37.9729,36.4563,43.9587,35.2737,34.5532,50.9164,44.0299,51.1225,60.3285,55.008,61.3585,56.2678,66.0458,39.3344,57.329,79.3431,84.3841,77.5888,74.3984,69.9076,89.5839,88.7189,98.7558,103.442,104.437,103.876,94.204,102.701,105.069,107.75,116.879,110.218,0,115.944,113.988,127.294,111.112,133.296,139.758,111.677,120.25,142.024,147.352,142.219,144.45,151.893,155.665,164.336,153.62,157.309,0,0,164.545,179.573,169.707,176.213,170.81,0,0,171.115,170.899,181.094,0,196.699,193.774,0,0,0,0,0,0,0,125.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4329,0,0,0,0.4329,0.4329,0.865801,0.4329,0.865801,0.4329,1.2987,1.2987,0.865801,1.2987,1.7316,0.865801,3.4632,1.2987,0.865801,3.4632,1.2987,3.0303,1.2987,2.1645,3.0303,3.4632,0.4329,2.5974,1.7316,1.2987,1.7316,1.7316,1.2987,2.5974,0.865801,0.4329,0.865801,1.2987,2.5974,1.2987,0.865801,1.7316,1.2987,0.4329,1.2987,1.2987,0.4329,0.865801,1.7316,1.7316,0,2.1645,2.5974,1.7316,0.4329,1.2987,1.2987,1.2987,0.4329,0.4329,1.7316,1.2987,0.865801,0.865801,0,0,0.4329,0.4329,1.2987,0,1.7316,0.865801,0.865801,0,0.4329,1.2987,0.865801,0.4329,0.4329,0,0,0.865801,0.865801,0.4329,0.4329,1.2987,0,0.4329,0.865801,0.4329,0.4329,0.4329,0,0,0,0,0.4329,0,0.4329,0
2402,0,7.97589,10.3423,24.8694,0,30.3896,33.4016,41.8203,39.6056,44.1287,44.4976,42.8704,44.6987,49.4063,42.3604,52.8963,57.3056,38.9162,34.372,55.434,75.3951,70.3915,74.293,57.598,77.9993,82.4409,89.2057,87.6293,88.9398,78.7907,101.868,95.1099,97.3565,108.126,0,100.686,110.869,117.395,122.797,117.188,129.436,121.307,115.248,91.2809,130.276,131.416,132.774,146.236,144.766,0,151.175,155.849,146.297,147.374,0,148.724,168.734,154.543,144.984,0,174.408,142.666,0,188.353,0,0,182.044,0,0,199.051,184.845,0,0,0,184.871,0,0,0,188.274,188.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483092,1.44928,1.44928,0.483092,0.483092,0.966184,0.966184,0.966184,0,0.966184,0,0.483092,1.93237,1.44928,1.44928,2.41546,2.41546,1.44928,1.93237,0.966184,2.89855,3.38164,1.93237,0.966184,0.966184,3.38164,2.41546,0.966184,1.44928,0.966184,1.93237,1.44928,1.93237,1.93237,1.44928,1.44928,1.93237,0.966184,3.86473,0,2.41546,0.966184,0.483092,0.483092,0.483092,1.44928,2.89855,0.966184,1.93237,0.966184,0.483092,0.483092,1.44928,1.93237,1.44928,0.966184,0.483092,0.966184,0.966184,0.483092,1.44928,0,0.483092,0.966184,0.966184,0.483092,0.483092,0,0.483092,1.93237,1.44928,0.483092,0.966184,0,0.966184,0,0,0.483092,0,0,0.483092,0,0.966184,0.483092,0.483092,0,0.483092,0,0.966184,0.966184,0,0.483092,0,0,0.483092,0.483092,0.483092
2702,8.59123,0,14.2462,10.1598,0,29.6057,34.3255,34.522,22.7082,48.3163,44.3656,55.8619,49.2965,49.6115,51.7078,36.4334,56.2833,54.4011,58.0372,62.2516,52.1415,67.3775,79.0284,81.3244,0,62.6389,64.5355,91.647,99.6053,101.716,53.5742,97.5265,104.952,109.687,0,111.017,105.7,114.552,116.239,106.424,106.045,0,84.5365,105.14,125.279,133.406,141.33,145.497,132.526,0,153.518,147.178,0,143.072,0,156.792,162.669,168.629,0,179.202,162.904,171.427,164.281,175.004,186.523,184.444,0,0,182.648,0,179.86,127.471,0,0,198.932,0,92.7045,0,186.445,163.908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469484,0,0.469484,0,0.938967,0.469484,0.938967,1.87793,0,0,0.938967,0.938967,1.87793,0,0.469484,0.938967,0.938967,1.40845,1.87793,2.34742,0.938967,1.87793,1.87793,1.87793,1.40845,3.28638,2.34742,0.938967,3.75587,1.40845,2.34742,2.34742,0.469484,0,1.40845,1.40845,1.87793,1.40845,3.28638,0.938967,0.469484,1.40845,0.469484,1.87793,0.938967,0.469484,0.469484,1.87793,1.40845,0.938967,0.938967,0.469484,2.34742,0.938967,0.938967,0,1.40845,1.40845,1.40845,2.34742,0.469484,0,0.469484,0.938967,0.469484,0.469484,0.469484,0,0.469484,0.938967,1.87793,0.938967,0.469484,0,0.938967,0,0.469484,1.87793,0.938967,0.938967,0.469484,1.40845,0,2.34742,0.938967,0.469484,0,0.938967,0.938967,0.938967,0.469484,0,0.938967,1.40845,0.469484,0,0,0,0,0.469484
3002,0,0,0,23.217,24.8871,22.856,35.337,38.9752,31.9129,46.2099,54.4786,40.329,48.8745,51.4771,55.9338,50.4068,68.4914,65.9907,68.4457,65.9743,67.7398,69.8832,70.4545,89.3221,79.274,79.7632,63.1171,86.3922,87.2619,99.7979,96.0039,95.6387,109.343,104.499,111.378,110.56,106.201,118.395,119.364,117.356,116.634,123.208,106.82,136.864,129.332,130.089,145.298,0,139.95,140.5,143.173,146.534,97.2346,137.376,166.522,160.754,162.645,156.647,162.351,0,167.184,177.562,182.037,166.125,174.431,177.972,192.22,197.288,163.243,0,191.637,0,0,179.447,0,0,0,0,0,155.496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460829,0,0,0.460829,1.38249,0.460829,1.38249,0,0.921659,0.460829,0.460829,0,0.460829,1.38249,1.38249,0.921659,1.38249,0.921659,2.30415,2.30415,1.84332,0.460829,1.84332,3.22581,0.460829,1.84332,1.38249,3.22581,1.84332,3.68664,2.30415,1.84332,2.30415,0.921659,0.460829,1.38249,1.38249,0.921659,1.38249,0.921659,2.30415,1.38249,0.460829,0.921659,2.30415,1.38249,0,1.84332,1.38249,1.38249,0.460829,0.460829,0.921659,2.30415,0,4.14747,0,0.921659,0.921659,0.460829,0.921659,0.921659,0.460829,0.921659,1.38249,0.921659,0.921659,0,1.38249,1.38249,0.921659,0.921659,0.460829,0.921659,0.921659,0,0.460829,0.460829,0,0,0.460829,0.921659,1.84332,1.38249,0.460829,0,0.460829,0,0.921659,0,0.460829,0.460829,0.460829,0,0.460829,0.921659,0.921659,0.460829,0,0.460829
3302,0,0,14.9908,16.513,20.4572,27.8894,39.9768,41.4061,41.1574,50.3676,37.8878,41.7223,53.154,61.6656,28.8324,44.5326,42.7952,51.6041,53.1685,73.0347,58.8703,62.151,75.9772,58.8288,80.6624,79.6124,83.4439,83.6555,98.4249,95.3573,95.251,89.6942,97.5727,0,103.748,111.649,113.04,80.5035,128.391,118.075,128.058,130.692,0,125.536,129.236,135.245,134.687,146.883,0,128.632,139.658,0,139.93,0,163.616,0,0,142.555,0,176.227,0,180.668,168.392,152.096,0,0,181.495,0,176.579,0,128.834,186.816,0,0,0,0,0,0,0,187.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995025,0.497512,0.995025,1.99005,0,1.49254,0.995025,1.49254,0.497512,0,2.98507,0.995025,1.49254,0.497512,0.995025,2.48756,1.49254,0.497512,2.48756,1.49254,2.48756,2.98507,1.49254,4.47761,0.497512,0.995025,0.995025,1.99005,1.49254,0.995025,0.995025,0,2.48756,1.99005,1.49254,1.99005,1.99005,1.49254,0.995025,1.49254,1.49254,0.995025,0.995025,1.49254,0.497512,0.995025,0.497512,0.995025,1.99005,2.48756,0.497512,0.995025,1.49254,0,1.49254,0.497512,0.995025,2.48756,0.497512,0.497512,0.497512,0.995025,1.49254,0.497512,1.49254,0.497512,1.49254,0.497512,0.497512,1.49254,0,0.995025,0.497512,0,0.497512,0,0.497512,0,0.497512,0.497512,0,0,0.497512,0.995025,0.497512,0,0.497512,0.497512,0.995025,0,0.497512,0,0.497512,0.497512,0.497512,0.497512,0.497512,0.497512
3602,0,0,0,13.8731,24.7235,24.8548,28.2253,41.1833,35.6766,41.7819,36.8775,38.5462,48.2354,48.8129,51.0435,30.2907,73.0608,41.8756,60.9242,57.7139,63.9981,73.3465,70.2168,61.7708,68.7556,91.0987,54.9791,83.9602,87.7117,98.3008,102.163,105.192,104.676,92.4045,101.004,111.045,117.734,117.906,127.039,125.975,131.911,117.777,125.839,122.486,128.069,120.846,127.005,128.404,139.312,148.206,120.806,0,0,154.706,149.407,0,168.23,167.116,146.133,0,172.37,167.62,0,0,181.506,190.863,171.31,0,124.899,0,0,0,177.482,0,0,0,0,0,0,138.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,1.5,2,0.5,1.5,0.5,0.5,0,1.5,1.5,0.5,2,1.5,0,2,2,2,1.5,0.5,2,4,1.5,0.5,1.5,2.5,1,0.5,1.5,1,1,0,0,2,3,4,1,2,2.5,1.5,1.5,1.5,1,2,0,0.5,1.5,3,0.5,1.5,2,1,3.5,0,0.5,0.5,1,1,0.5,1,1.5,1,1.5,1,1.5,0.5,1.5,0,0,0.5,1,1,0,0,0.5,0,0,0,0,0,2.5,0.5,1,0,1,0.5,0.5,1,0,1,0,0,0.5,0,0,0,0
3902,0,10.6966,12.8067,0,35.0823,31.3531,35.8048,33.8931,39.0987,29.7825,47.5765,38.8432,48.2057,38.6897,50.1286,51.8248,55.2523,64.4348,68.3524,60.4923,64.5118,71.7726,68.5668,74.0153,70.7274,85.7141,81.3065,76.9867,86.2161,97.2711,101.093,105.258,98.8088,100.091,115.134,106.116,109.042,107.107,121.131,119.746,127.155,112.371,132.595,128.172,133.94,137.78,135.144,145.589,0,111.799,150.356,159.367,162.182,0,155.609,160.887,150.891,159.331,169.815,159.66,171.341,173.233,173.534,0,0,0,194.413,188.062,0,0,0,0,0,0,0,0,0,0,0,161.909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425532,0.425532,0,0,0.851064,1.2766,0.425532,0.425532,0.425532,0.851064,0,0.851064,0.851064,0.425532,1.70213,0,2.97872,2.12766,1.2766,0,1.70213,0.425532,2.12766,0.425532,2.55319,1.70213,2.97872,2.12766,1.70213,2.97872,3.40426,1.70213,1.2766,0.851064,1.2766,3.82979,2.97872,1.70213,1.2766,1.70213,0.851064,0.851064,0.851064,0.851064,1.70213,1.2766,1.70213,0.851064,0.851064,0.425532,0.425532,0.425532,0.851064,2.55319,1.70213,2.97872,2.12766,0.851064,0,1.2766,0.425532,0.851064,1.2766,0.851064,0,0.851064,1.2766,0,0.425532,0.425532,0.425532,1.2766,0.851064,0.425532,0.425532,0.425532,0,0.851064,0.425532,0.851064,0.851064,0.425532,0,2.12766,0.425532,1.2766,0.425532,0.425532,0,0,0.425532,0.851064,0,0,0.425532,0.851064,0,0.851064,0.425532,0.425532
